username,modalidade,posicao_ranking,rating,data_snapshot,origem_ranking
Hikaru,blitz,1,,2026-01-19,chesscom_blitz
DenLaz,blitz,2,,2026-01-19,chesscom_blitz
MagnusCarlsen,blitz,3,,2026-01-19,chesscom_blitz
rpragchess,blitz,4,,2026-01-19,chesscom_blitz
gurelediz,blitz,5,,2026-01-19,chesscom_blitz
GMWSO,blitz,6,,2026-01-19,chesscom_blitz
Sibelephant,blitz,7,,2026-01-19,chesscom_blitz
nihalsarin,blitz,8,,2026-01-19,chesscom_blitz
mishanick,blitz,9,,2026-01-19,chesscom_blitz
Firouzja2003,blitz,10,,2026-01-19,chesscom_blitz
HansOnTwitch,blitz,11,,2026-01-19,chesscom_blitz
Polish_fighter3000,blitz,12,,2026-01-19,chesscom_blitz
Philippians46,blitz,13,,2026-01-19,chesscom_blitz
Mykola-Bortnyk,blitz,14,,2026-01-19,chesscom_blitz
Javokhir_Sindarov05,blitz,15,,2026-01-19,chesscom_blitz
spicycaterpillar,blitz,16,,2026-01-19,chesscom_blitz
vi_pranav,blitz,17,,2026-01-19,chesscom_blitz
Twitch_ElhamBlitz05,blitz,18,,2026-01-19,chesscom_blitz
jefferyx,blitz,19,,2026-01-19,chesscom_blitz
NikoTheodorou,blitz,20,,2026-01-19,chesscom_blitz
LyonBeast,blitz,21,,2026-01-19,chesscom_blitz
Konavets,blitz,22,,2026-01-19,chesscom_blitz
artooon,blitz,23,,2026-01-19,chesscom_blitz
artin10862,blitz,24,,2026-01-19,chesscom_blitz
Sina-Movahed,blitz,25,,2026-01-19,chesscom_blitz
Micki-taryan,blitz,26,,2026-01-19,chesscom_blitz
FabianoCaruana,blitz,27,,2026-01-19,chesscom_blitz
Robert_Angier,blitz,28,,2026-01-19,chesscom_blitz
RaunakSadhwani2005,blitz,29,,2026-01-19,chesscom_blitz
ChessWarrior7197,blitz,30,,2026-01-19,chesscom_blitz
VincentKeymer,blitz,31,,2026-01-19,chesscom_blitz
Grischuk,blitz,32,,2026-01-19,chesscom_blitz
Parhamov,blitz,33,,2026-01-19,chesscom_blitz
F1_and_Chess,blitz,34,,2026-01-19,chesscom_blitz
dropstoneDP,blitz,35,,2026-01-19,chesscom_blitz
LevonAronian,blitz,36,,2026-01-19,chesscom_blitz
Msb2,blitz,37,,2026-01-19,chesscom_blitz
GHANDEEVAM2003,blitz,38,,2026-01-19,chesscom_blitz
Baku_Boulevard,blitz,39,,2026-01-19,chesscom_blitz
Salem-AR,blitz,40,,2026-01-19,chesscom_blitz
wonderfultime,blitz,41,,2026-01-19,chesscom_blitz
Andreikka,blitz,42,,2026-01-19,chesscom_blitz
Volodar_Murzin,blitz,43,,2026-01-19,chesscom_blitz
FaustinoOro,blitz,44,,2026-01-19,chesscom_blitz
BogdanDeac,blitz,45,,2026-01-19,chesscom_blitz
PursuitOfHappyness2,blitz,46,,2026-01-19,chesscom_blitz
ChessFighter_2011,blitz,47,,2026-01-19,chesscom_blitz
Shield12,blitz,48,,2026-01-19,chesscom_blitz
lachesisQ,blitz,49,,2026-01-19,chesscom_blitz
Jumbo,blitz,50,,2026-01-19,chesscom_blitz
ManuDavid2910,rapid,1,,2026-01-19,chesscom_rapid
GutovAndrey,rapid,2,,2026-01-19,chesscom_rapid
SeanWinshand,rapid,3,,2026-01-19,chesscom_rapid
LPSupi,rapid,4,,2026-01-19,chesscom_rapid
Evandro_Barbosa,rapid,5,,2026-01-19,chesscom_rapid
GigaQuparadze,rapid,6,,2026-01-19,chesscom_rapid
nihalsarin,rapid,7,,2026-01-19,chesscom_rapid
LOVEVAE,rapid,8,,2026-01-19,chesscom_rapid
Chasing_Checkmate,rapid,9,,2026-01-19,chesscom_rapid
lethalspider7,rapid,10,,2026-01-19,chesscom_rapid
Yachen_03,rapid,11,,2026-01-19,chesscom_rapid
Swiss_Fighter,rapid,12,,2026-01-19,chesscom_rapid
g3god,rapid,13,,2026-01-19,chesscom_rapid
ChristopherYoo,rapid,14,,2026-01-19,chesscom_rapid
GMKrikor,rapid,15,,2026-01-19,chesscom_rapid
Berardino,rapid,16,,2026-01-19,chesscom_rapid
Reader777,rapid,17,,2026-01-19,chesscom_rapid
Szparu,rapid,18,,2026-01-19,chesscom_rapid
Liindseeyy,rapid,19,,2026-01-19,chesscom_rapid
Kacparov,rapid,20,,2026-01-19,chesscom_rapid
amintabatabaei,rapid,21,,2026-01-19,chesscom_rapid
Aoitsukibluemoon,rapid,22,,2026-01-19,chesscom_rapid
GMBenjaminBok,rapid,23,,2026-01-19,chesscom_rapid
deechess123,rapid,24,,2026-01-19,chesscom_rapid
wqws,rapid,25,,2026-01-19,chesscom_rapid
elefante33,rapid,26,,2026-01-19,chesscom_rapid
Sargsyan_Shant,rapid,27,,2026-01-19,chesscom_rapid
SahibSinghKnight,rapid,28,,2026-01-19,chesscom_rapid
GMALMEIDA,rapid,29,,2026-01-19,chesscom_rapid
astralpulse,rapid,30,,2026-01-19,chesscom_rapid
Elnur_Mehtiyev,rapid,31,,2026-01-19,chesscom_rapid
NikoTheodorou,rapid,32,,2026-01-19,chesscom_rapid
kazuko-chan,rapid,33,,2026-01-19,chesscom_rapid
FoxOnTheRun97,rapid,34,,2026-01-19,chesscom_rapid
Chessmatenokk17,rapid,35,,2026-01-19,chesscom_rapid
jefferyx,rapid,36,,2026-01-19,chesscom_rapid
grandmastergauri,rapid,37,,2026-01-19,chesscom_rapid
Zenzo,rapid,38,,2026-01-19,chesscom_rapid
dual_flurry,rapid,39,,2026-01-19,chesscom_rapid
d6stronk,rapid,40,,2026-01-19,chesscom_rapid
Tapuah,rapid,41,,2026-01-19,chesscom_rapid
hamelekh,rapid,42,,2026-01-19,chesscom_rapid
SVR_2100KHMYM2K,rapid,43,,2026-01-19,chesscom_rapid
Sanyi9,rapid,44,,2026-01-19,chesscom_rapid
fernanjoel111762,rapid,45,,2026-01-19,chesscom_rapid
Wotgenie,rapid,46,,2026-01-19,chesscom_rapid
LiamPutnam2008,rapid,47,,2026-01-19,chesscom_rapid
ntphuc1122,rapid,48,,2026-01-19,chesscom_rapid
alexboy14,rapid,49,,2026-01-19,chesscom_rapid
djamir,rapid,50,,2026-01-19,chesscom_rapid
Philippians46,bullet,1,,2026-01-19,chesscom_bullet
ArkadiiKhromaev,bullet,2,,2026-01-19,chesscom_bullet
Hikaru,bullet,3,,2026-01-19,chesscom_bullet
ShadowKing71,bullet,4,,2026-01-19,chesscom_bullet
Firouzja2003,bullet,5,,2026-01-19,chesscom_bullet
Qopy01,bullet,6,,2026-01-19,chesscom_bullet
gurelediz,bullet,7,,2026-01-19,chesscom_bullet
Badfarma07,bullet,8,,2026-01-19,chesscom_bullet
penguingm1,bullet,9,,2026-01-19,chesscom_bullet
LiamPutnam2008,bullet,10,,2026-01-19,chesscom_bullet
nihalsarin,bullet,11,,2026-01-19,chesscom_bullet
Konavets,bullet,12,,2026-01-19,chesscom_bullet
ChessBrah,bullet,13,,2026-01-19,chesscom_bullet
DenLaz,bullet,14,,2026-01-19,chesscom_bullet
Jospem,bullet,15,,2026-01-19,chesscom_bullet
Zhigalko_Sergei,bullet,16,,2026-01-19,chesscom_bullet
Oleksandr_Bortnyk,bullet,17,,2026-01-19,chesscom_bullet
Boburjon314159,bullet,18,,2026-01-19,chesscom_bullet
Riley,bullet,19,,2026-01-19,chesscom_bullet
ChessFighter_2011,bullet,20,,2026-01-19,chesscom_bullet
rpragchess,bullet,21,,2026-01-19,chesscom_bullet
wonderfultime,bullet,22,,2026-01-19,chesscom_bullet
jefferyx,bullet,23,,2026-01-19,chesscom_bullet
0gZPanda,bullet,24,,2026-01-19,chesscom_bullet
Blackmind96,bullet,25,,2026-01-19,chesscom_bullet
TheyStoleMySanity,bullet,26,,2026-01-19,chesscom_bullet
MITerryble,bullet,27,,2026-01-19,chesscom_bullet
tactic,bullet,28,,2026-01-19,chesscom_bullet
Javokhir_Sindarov05,bullet,29,,2026-01-19,chesscom_bullet
mitrabhaa,bullet,30,,2026-01-19,chesscom_bullet
PursuitOfHappyness2,bullet,31,,2026-01-19,chesscom_bullet
MagnusCarlsen,bullet,32,,2026-01-19,chesscom_bullet
judenyc,bullet,33,,2026-01-19,chesscom_bullet
ManuDavid2910,bullet,34,,2026-01-19,chesscom_bullet
Elfangm2,bullet,35,,2026-01-19,chesscom_bullet
WK_WillianHille,bullet,36,,2026-01-19,chesscom_bullet
Msb2,bullet,37,,2026-01-19,chesscom_bullet
dropstoneDP,bullet,38,,2026-01-19,chesscom_bullet
littleplotkin,bullet,39,,2026-01-19,chesscom_bullet
kingofthenil,bullet,40,,2026-01-19,chesscom_bullet
GMWSO,bullet,41,,2026-01-19,chesscom_bullet
yavrukurt40,bullet,42,,2026-01-19,chesscom_bullet
amintabatabaei,bullet,43,,2026-01-19,chesscom_bullet
artooon,bullet,44,,2026-01-19,chesscom_bullet
WorriedEgg,bullet,45,,2026-01-19,chesscom_bullet
platy3,bullet,46,,2026-01-19,chesscom_bullet
HansOnTwitch,bullet,47,,2026-01-19,chesscom_bullet
bocah_sakit,bullet,48,,2026-01-19,chesscom_bullet
Sina-Movahed,bullet,49,,2026-01-19,chesscom_bullet
Dolphin_2010,bullet,50,,2026-01-19,chesscom_bullet
